"Date/Time","Date/Time","No.1","No.2","No.3","No.4","No.5"
"Date/Time","Date/Time","above last glass","under first glass","black bottom","underside bottom","solar ins"
"","","°C","°C","°C","°C","W/m^2"
"2024-09-13 11:34:59","45548.4826273148","40.9","30.0","43.0","32.8","931.735"
"2024-09-13 11:35:00","45548.4826388889","41.0","30.0","43.2","32.8","930.292"
"2024-09-13 11:35:01","45548.4826504630","41.0","30.0","43.3","32.9","930.773"
"2024-09-13 11:35:02","45548.4826620370","41.2","30.0","43.5","32.9","931.254"
"2024-09-13 11:35:03","45548.4826736111","41.3","30.1","43.8","33.0","931.014"
"2024-09-13 11:35:04","45548.4826851852","41.4","30.1","43.9","33.0","931.495"
"2024-09-13 11:35:05","45548.4826967593","41.5","30.1","44.1","33.1","931.976"
"2024-09-13 11:35:06","45548.4827083333","41.6","30.1","44.4","33.1","931.254"
"2024-09-13 11:35:07","45548.4827199074","41.7","30.1","44.7","33.1","932.697"
"2024-09-13 11:35:08","45548.4827314815","41.7","30.1","44.8","33.2","932.457"
"2024-09-13 11:35:09","45548.4827430556","41.9","30.2","45.1","33.3","934.140"
"2024-09-13 11:35:10","45548.4827546296","42.0","30.2","45.4","33.3","931.254"
"2024-09-13 11:35:11","45548.4827662037","42.1","30.2","45.6","33.4","931.735"
"2024-09-13 11:35:12","45548.4827777778","42.2","30.2","45.8","33.4","931.014"
"2024-09-13 11:35:13","45548.4827893519","42.3","30.2","46.0","33.4","931.014"
"2024-09-13 11:35:14","45548.4828009259","42.3","30.2","45.8","33.5","931.495"
"2024-09-13 11:35:15","45548.4828125000","42.5","30.3","45.6","33.6","931.254"
"2024-09-13 11:35:16","45548.4828240741","42.5","30.4","45.5","33.7","931.735"
"2024-09-13 11:35:17","45548.4828356481","42.6","30.4","45.4","33.8","931.254"
"2024-09-13 11:35:18","45548.4828472222","42.7","30.4","45.4","33.8","932.697"
"2024-09-13 11:35:19","45548.4828587963","42.7","30.4","45.5","33.8","931.976"
"2024-09-13 11:35:20","45548.4828703704","42.8","30.4","45.7","33.9","932.457"
"2024-09-13 11:35:21","45548.4828819444","42.8","30.4","45.9","33.9","931.495"
"2024-09-13 11:35:22","45548.4828935185","42.9","30.5","46.3","34.1","932.216"
"2024-09-13 11:35:23","45548.4829050926","42.9","30.5","46.5","34.1","932.938"
"2024-09-13 11:35:24","45548.4829166667","43.0","30.5","46.7","34.1","932.938"
"2024-09-13 11:35:25","45548.4829282407","43.0","30.5","46.9","34.2","932.457"
"2024-09-13 11:35:26","45548.4829398148","43.0","30.6","47.1","34.2","932.938"
"2024-09-13 11:35:27","45548.4829513889","42.8","30.5","47.1","34.3","932.697"
"2024-09-13 11:35:28","45548.4829629630","42.6","30.6","46.8","34.3","932.697"
"2024-09-13 11:35:29","45548.4829745370","42.6","30.7","46.8","34.5","933.178"
"2024-09-13 11:35:30","45548.4829861111","42.5","30.7","46.7","34.5","932.697"
"2024-09-13 11:35:31","45548.4829976852","42.5","30.7","46.7","34.6","932.697"
"2024-09-13 11:35:32","45548.4830092593","42.5","30.7","46.8","34.6","932.938"
"2024-09-13 11:35:33","45548.4830208333","42.5","30.7","47.0","34.7","932.938"
"2024-09-13 11:35:34","45548.4830324074","42.4","30.7","47.3","34.7","932.938"
"2024-09-13 11:35:35","45548.4830439815","42.3","30.7","47.5","34.8","932.697"
"2024-09-13 11:35:36","45548.4830555556","42.2","30.7","47.7","34.8","932.938"
"2024-09-13 11:35:37","45548.4830671296","42.3","30.8","48.0","34.9","933.178"
"2024-09-13 11:35:38","45548.4830787037","42.2","30.8","48.2","35.0","933.178"
"2024-09-13 11:35:39","45548.4830902778","42.2","30.8","48.4","35.1","932.938"
"2024-09-13 11:35:40","45548.4831018519","42.2","30.9","48.6","35.1","932.697"
"2024-09-13 11:35:41","45548.4831134259","42.3","30.9","48.7","35.1","933.178"
"2024-09-13 11:35:42","45548.4831250000","42.2","30.9","48.9","35.2","933.900"
"2024-09-13 11:35:43","45548.4831365741","42.2","30.9","49.0","35.2","933.659"
"2024-09-13 11:35:44","45548.4831481481","42.3","31.0","49.1","35.3","933.419"
"2024-09-13 11:35:45","45548.4831597222","42.5","31.1","49.4","35.4","934.621"
"2024-09-13 11:35:46","45548.4831712963","42.6","31.1","49.6","35.5","934.381"
"2024-09-13 11:35:47","45548.4831828704","42.8","31.1","49.8","35.5","934.140"
"2024-09-13 11:35:48","45548.4831944444","42.9","31.1","50.0","35.6","934.381"
"2024-09-13 11:35:49","45548.4832060185","43.0","31.2","50.1","35.6","934.381"
"2024-09-13 11:35:50","45548.4832175926","43.2","31.2","50.3","35.7","934.140"
"2024-09-13 11:35:51","45548.4832291667","43.2","31.2","50.3","35.7","934.862"
"2024-09-13 11:35:52","45548.4832407407","43.3","31.2","50.3","35.8","934.621"
"2024-09-13 11:35:53","45548.4832523148","43.5","31.3","50.5","35.9","934.862"
"2024-09-13 11:35:54","45548.4832638889","43.6","31.4","50.7","35.9","934.862"
"2024-09-13 11:35:55","45548.4832754630","43.6","31.4","50.9","36.0","934.862"
"2024-09-13 11:35:56","45548.4832870370","43.6","31.4","51.0","36.0","934.381"
"2024-09-13 11:35:57","45548.4832986111","43.7","31.4","51.1","36.1","933.900"
"2024-09-13 11:35:58","45548.4833101852","43.8","31.4","51.1","36.1","934.140"
"2024-09-13 11:35:59","45548.4833217593","43.9","31.5","51.2","36.2","933.659"
"2024-09-13 11:36:00","45548.4833333333","44.0","31.5","51.2","36.3","933.900"
"2024-09-13 11:36:01","45548.4833449074","44.1","31.6","51.3","36.4","934.381"
"2024-09-13 11:36:02","45548.4833564815","44.2","31.6","51.3","36.5","933.178"
"2024-09-13 11:36:03","45548.4833680556","44.3","31.7","51.4","36.5","933.419"
"2024-09-13 11:36:04","45548.4833796296","44.3","31.7","51.6","36.5","933.419"
